Player, Rnd, K, D, A, FK, FD, CL, LastAlive, KMax, Rating, ACS, ADR, KAST, HS%
SugarZ3ro,83,47,65,34,5,5,1,6,16,0.80,175.8,114.3,0.72,0.33
CLZ,83,41,63,27,1,9,3,21,15,0.78,142.0,95.7,0.7,0.37
Crws,217,107,151,68,11,18,3,22,24,0.75,146.1,96.1,0.69,0.25
Governor,217,126,163,35,36,44,1,17,18,0.75,173.6,111.6,0.65,0.19
SyouTa,83,53,70,9,9,11,2,17,15,0.75,177.8,114.1,0.61,0.44
NcSlasher,123,64,90,40,3,9,0,9,14,0.73,147.5,97.3,0.71,0.31
Xdll,83,49,70,8,8,7,0,9,14,0.70,174.0,115.4,0.59,0.33
Keiko,493,436,325,149,53,32,9,58,28,1.26,239.5,156.3,0.78,0.4
Minny,192,151,120,32,27,14,3,28,25,1.18,219.5,139.8,0.71,0.38
florescent,111,101,87,17,22,15,1,12,26,1.17,256.6,172.9,0.69,0.38
kaajak,215,191,147,45,32,35,3,13,32,1.16,245.0,157.9,0.69,0.37
yetujey,179,145,126,41,25,14,5,33,22,1.13,230.8,150.9,0.75,0.26
Alfajer,215,181,157,48,38,18,3,24,32,1.12,233.5,153.4,0.71,0.29
Derke,249,217,185,46,61,52,0,14,32,1.12,252.8,164.9,0.7,0.3
Sayf,249,195,160,60,22,21,5,27,22,1.10,214.2,138.5,0.71,0.26
sociablEE,244,196,175,50,28,32,5,36,25,1.09,228.5,144.8,0.73,0.22
Avez,199,144,133,59,13,13,2,13,24,1.09,208.8,135.0,0.75,0.36
Wo0t,189,132,128,82,20,18,3,21,23,1.08,205.1,136.8,0.74,0.35
Ruxic,128,96,92,49,14,14,0,14,26,1.08,216.0,136.7,0.77,0.26
Less,249,173,150,79,10,14,9,26,22,1.08,196.3,126.5,0.72,0.3
SUYGETSU,199,137,125,84,16,19,4,30,19,1.08,194.2,122.7,0.75,0.42
Shao,128,90,79,38,11,7,4,20,23,1.07,183.8,120.7,0.73,0.29
Cloud,176,125,121,45,19,18,2,25,22,1.07,206.1,139.5,0.68,0.3
kamyk,493,352,319,138,44,37,10,68,21,1.07,201.9,132.9,0.74,0.25
Chronicle,215,149,135,75,14,17,1,18,24,1.06,195.8,131.1,0.7,0.24
RieNs,189,140,137,51,21,12,3,35,21,1.06,205.4,137.4,0.74,0.43
